comment,tag
"should be goverment funded, not business funded.",1
Vote one nation to save Australia,0
She’s got my vote😁,0
,
that headline gave me a migraine,1
uh huh,
Hundy!,
Vote one nation,0
She has a great policy on this,0
Vote nation,0
tbf there should be a limit.,
voting for Pauline,0
vote one nation 😁👍,0
Pauline Hanson has never voted for anything that benefits working Australian's,1
My best friend fiancé is having a baby in September she can’t just go back to work the day after giving birth she needs at least a a few months for the baby to grow bigger because the baby needs a mother with them to feed them pretty much every few hours I just cause she went to work the next day this ain’t 60 years ago anymore,1
"She’s 100% right,",0
Paid for leave is now six months we cannot afford that if we started using our own natural resources then we could afford it but we can’t so we can’t afford it,1
Maybe not all small business but definately a lot will if they are paying employees for no work,0
"what's the issue???
She supports parental leave",0
She supports parental leave. What’s your point?,0
Let’s just get paid paternal leave more than 2 weeks,1
taxpayers shouldn't be paying for it,0
unions are dying,0
expecting small business to pay 2 wages for one workers is completely stupid,0
If a company has more than a certain number of employees you should have to pay it,1
"Someone obviously does not understand the argument. They have to hire someone else, then when you come back it’s virtually impossible to fire the temp due to dismissal laws. It adds extra costs and time. Plus even when on leave your still paying super and workers comp etc. so yes employers still pay something",0
our taxes pay for this which they should,1
😁😁😁,
There’s a lot of pressure on small business to pay parental leave to compete with big business for talent,0
"Small business is folding because of red tape, dwindling profits and high taxes.",0
It's because the right-wing is not the workers' party. It's the side of politics designed to benefit billionaires. That's all it is.,1
the biggest trick that one nation is successfully doing is convincing working Australian's that they are the problem,1
