comment,tag
Multicultural environment system?,
who are isis friends with?,
Oh wow she turned up,1
Let’s go Pauline,0
please 🙏 Pauline save the future of our country for our future children 💯% one nation,0
"please help us pauline i fear for our country!! you are our only hope,",0
Thank you Pauline 🙏🇦🇺🇦🇺,0
Did it get accepted?,
Couldn’t have said it better myself good job one nation,0
Good on you Pauline.,0
"Push them Pauline , we stand with you",0
"go go hard
you are great 🙏🙏🙏",0
LETS GO,0
GO PAULINE 🧡🇦🇺🧡🇦🇺🧡,0
Pauline Hanson for PM 👍👍,0
Exactly.,0
I agree Pauline,0
,
Blah blah blah …… damn that ruddy Constitution!!,0
,
,
,
👏,0
💯,0
,
Safety and security of Australia 🇦🇺⚔️🇦🇺,0
Spot on Pauline..we need to protect our citizens and family.,0
time to fly our flag upside down 👍,0
Let her speak!!,0
Give it to them Pauline,0
"And we the Australian people agree, this needs to be of a urgency",0
go Pauline and show them how to say enough is enough this is Australia 🇦🇺,0
🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡,0
💚🎯👏👏👏👏👏,0
we have had enough of labor,0
the speakers seem to be a big problem,0
she is absolutely right it is urgent,0
"Both sides of government are corrupt! They only care about their lobbyists! We’re taxed at every turn; income tax, payroll tax, GST, capital gains tax, land tax, fuel excise, stamp duty, motor vehicle tax, liquor/gaming tax, luxury car tax, road-related charges, tobacco tax, fringe benefits tax, property taxes, vacancy taxes (in some states), windfall taxes (in some states), plus tolls, registrations, levies, and even the rising burden of private health insurance. When you add it all up, many Australians are effectively paying 55cents in the dollar earned (offical ATO data from 2022/2023 has it at 52cents). And this current budget is the largest tax increase in Australia’s History. ATO’s own modelling states we could be paying 58c in the dollar. And yet, despite being one of the most resource rich nations in the world with vast reserves of iron ore, gold, lithium, natural gas, lead, nickel, silver, copper, cobalt, rutile, alumina, zircon, bauxite, black/brown and coal to mention a few, yet we are not seeing the level of national prosperity you’d expect. Other countries that retain stronger control over their natural resources (SoE) often generate far greater long term public wealth. Instead, we’re now facing national debt pushing towards $1.1trillion. Plus this current government is spending an extra 180 billion per year vs GDP… And let’s not forget these about these outrageous immigration numbers over the last 4 years… It’s time to dismantle the political establishment!!",
👍👍👍,0
one nation,0
"Australia has lost faith on the Labor Government, especially Anthony Albanese. It’s been one liar after another. #enoughisenough",0
I don’t get how common sense is controversial,0
hold the politicians responsible for this decision..,0
Shows the cheap person must be labour or not a cool a person that’s in the middle so most they’re just picking up Pauline Nason because the one nation they should be picking at each other to make sure everything’s correct right through the board that means all to be treated the same shit not just one or two or three or just cause either whatever they call the right in the left he is a fuck about right and left. It’s right and wrong not left and right.,
Yeh why should we have more souls harmed over a bs vote egenda,0
Go Pauline kick there ass,0
