comment,tag
"She’s like Australia’s nan, Would love to her running the country",0
"ANZACs didn’t fight for this.. Pauline you’re in our prayers, please keep up the good fight!",0
Please help,0
does the same apply to those who go and join the IDF ..?,1
Help us Pauline… how do we get u elected!,0
Your going down Pauline Hanson 😂😂,1
vote Pauline #1,0
Women's rights are human rights,1
go Pauline we can do this 💪 🇦🇺🙏👏,0
Pauline has been the joke of Australian politics for my entire life so far hahaha,1
Im not Australian but I support you from Argentina!,0
Hopefully you win the election to save Australia,0
,
Absolutely vote for Pauline. She’s the only one that’s going to save Australia. Strong like Trump! Don’t leave it until it’s too late like it is in England and most of Europe. They’ve left it too late!,0
what about IDF fighters coming back to Australia,1
13 votes for albo,
This is why l vote for u,0
Please explain how you would have stopped them not just in talk but actual action what means would you use who would you get to legally do this?,1
come on Pauline you got this make Australia great again!,0
Only you can make this country great again. 100% supported,0
Well said !! Pauline for PM,0
VOTE ONE NATION,0
Pauline you would make the greatest prime minister in my opinion and would love you to be in the next election,0
Introduce the death penalty,0
One nation baby 👍,0
go Pauline!!!,0
"Keep up the great work, Pauline",0
agree with everything you say Pauline Hanson,0
Pauline Hanson we are with you all our heart all our brain all our power just do make Australia paradise for all innocent people please we proud of you. We great for you. We pray for you. God bless you and bless your family all Australia.,0
Australia needs Pauline Hanson !!!,0
I stand with you Pauline,0
I was borne in this country and im still working hard all my life Pauline will make Australia great again,0
,
She is perfect,0
every country works with international law ?,
"S U P P O R T for U
Respect for Australian",0
Aussies vote one nation,0
Love you Pauline,0
I'm with ya Pauline,0
One nation 👍,0
Vote ONE NATION 👍👍👍👍👍,0
God bless you 🙏🙏🙏🙏🙏🙏🇦🇺🙋‍♂️❤️‍🩹👍🏻💯💯💯✅,0
I’m voting for you 🥰🥰🥰🥰,0
Go one nation!! She will be the prime minister of our awesome country!!!,0
"same in the uk, it's horrendous",0
I agree with you Pauline,0
yes you are right,0
Love you Pauline ❤️,0
please help us Pauline Hanson,0
100% agree with you!! AUSTRALIANS NEED YOU PAULINE!!!!!!!! 🙏 🇦🇺,0
