comment,tag
Thank you for my daily reminder to vote one nation,0
Unions are at the core of why our economy is failing. Thank you all so much 😂 👍,0
Vote one nation,0
Vote ONE NATION Australia 🇦🇺,0
Im a union member butt gona vote 1 Nation,0
I can think of $15 billion reasons why I disagree.,0
I’m a unionist but in voting one nation 100%,0
Who’s that bloke leading the chant??,0
surprised the crowd didn't strike half way through,0
"We love corruption, not our nation! 😂",0
And i was a shop steward for 10 years for the CFMEU And never missed a rally One nation all day every day,0
Vote One Nation,0
"ONE NATION or NO NATION 🇦🇺😢😢😢, Gazza",0
One Nation all the way 💪🏼,0
"And I bet they all got paid for doing nothing. I guess that is just a normal work day for them, doing not much.",0
One Nation baby 😀,0
only one nation can save our nation 🇦🇺🧡🇦🇺🧡🇦🇺🧡🇦🇺🧡🇦🇺,0
Pauline for PM,0
Looks a bit sad,0
"One nation for me, Comrade.",0
A minority of militant lefties vs a minority of racists. Interesting,
vote one nation,0
Vote one nation is all i am hearing,0
Go one nation!,0
Bring it on Vote One Nation,0
PAULINE PAULINE 🙏,0
This lot of woke jokes will be crying after the election.. can’t wait to see that. Lie the democrats when Trump got in.. grab your popcorn.,0
Where were the other 160000 members of Victorian unions?,0
Vote greens 🙏,1
"Unfortunately, I think most of MY union dues goes to the Labor government as a donation.",0
PAULINE HANSON FOR PRIME MINISTER.,0
Vote one nation,0
Go Pauline,0
This looks like a 1930’s German Beer Hall meeting…,1
"Yep, vote one nation",0
sounds very cult like,
looks like ai,
Pauline all the way baby!!,0
ARE WE GONNA WORK. NO. ARE WE GONNA WINGE. YES.,0
What arguments and support is this party going to bring to the Australian community? Honest question,0
That crowd tells me all I need to know,0
Vote one nation 👏👏👏,0
One Nation all the way,0
Sounds like Communism,0
Love u Pauline 🧡🧡🧡🧡,0
the chant of the commies,0
I’m a Union member and I will be voting for One Nation,0
Why are they screaming Islamisation 😳😳😳,0
thank you for making my mind up who to vote for. one nation it is,0
