subfolder,post_id,video_id,play_count,pro_phonp,anti_phonp,unclear,n_comments,file
ausunions,9,7654497847743614225,262000,0.7916666666666666,0.16666666666666666,0.041666666666666664,48,Data\comment_sections\tagged\posttag\ausunions\9.csv
ausunions,6,7657853389975358721,179000,0.2608695652173913,0.43478260869565216,0.30434782608695654,46,Data\comment_sections\tagged\posttag\ausunions\6.csv
ausunions,7,7657481781075070225,138000,0.5483870967741935,0.3225806451612903,0.12903225806451613,31,Data\comment_sections\tagged\posttag\ausunions\7.csv
ausunions,8,7655116065130794261,75700,0.05714285714285714,0.8,0.14285714285714285,35,Data\comment_sections\tagged\posttag\ausunions\8.csv
ausunions,5,7665275616815631636,8386,0.34146341463414637,0.4878048780487805,0.17073170731707318,41,Data\comment_sections\tagged\posttag\ausunions\5.csv
onenationoz,4,7667492207166852353,64600,1.0,0.0,0.0,49,Data\comment_sections\tagged\posttag\onenationoz\4.csv
onenationoz,5,7665977831213518096,35400,0.9361702127659575,0.02127659574468085,0.0425531914893617,47,Data\comment_sections\tagged\posttag\onenationoz\5.csv
onenationoz,3,7670346332019674384,16300,0.8717948717948718,0.0,0.1282051282051282,39,Data\comment_sections\tagged\posttag\onenationoz\3.csv
onenationoz,2,7670377488064859400,14600,0.8333333333333334,0.08333333333333333,0.08333333333333333,36,Data\comment_sections\tagged\posttag\onenationoz\2.csv
onenationoz,1,7673000945722182919,11300,0.8536585365853658,0.024390243902439025,0.12195121951219512,41,Data\comment_sections\tagged\posttag\onenationoz\1.csv
paulinehansononenation,3,7667717854556409109,2000000,0.8723404255319149,0.10638297872340426,0.02127659574468085,47,Data\comment_sections\tagged\posttag\paulinehansononenation\3.csv
paulinehansononenation,4,7666784614979030292,286200,0.675,0.15,0.175,40,Data\comment_sections\tagged\posttag\paulinehansononenation\4.csv
paulinehansononenation,6,7660723602744020244,278600,0.20833333333333334,0.625,0.16666666666666666,24,Data\comment_sections\tagged\posttag\paulinehansononenation\6.csv
paulinehansononenation,2,7668243320786816276,249800,0.8333333333333334,0.125,0.041666666666666664,48,Data\comment_sections\tagged\posttag\paulinehansononenation\2.csv
paulinehansononenation,1,7670783945046265108,182400,0.8888888888888888,0.044444444444444446,0.06666666666666667,45,Data\comment_sections\tagged\posttag\paulinehansononenation\1.csv
paulinehansononenation,5,7662257217000836373,162300,1.0,0.0,0.0,47,Data\comment_sections\tagged\posttag\paulinehansononenation\5.csv
weareunion,1,7665111019529735445,27100,0.21951219512195122,0.7073170731707317,0.07317073170731707,41,Data\comment_sections\tagged\posttag\weareunion\1.csv
weareunion,3,7659893946117639442,19000,0.8979591836734694,0.04081632653061224,0.061224489795918366,49,Data\comment_sections\tagged\posttag\weareunion\3.csv
weareunion,5,7656701057908673813,10200,0.2391304347826087,0.7391304347826086,0.021739130434782608,46,Data\comment_sections\tagged\posttag\weareunion\5.csv
weareunion,2,7660404057390976277,4730,0.8529411764705882,0.058823529411764705,0.08823529411764706,34,Data\comment_sections\tagged\posttag\weareunion\2.csv
weareunion,4,7657436020819987732,4377,0.5263157894736842,0.21052631578947367,0.2631578947368421,19,Data\comment_sections\tagged\posttag\weareunion\4.csv
