subfolder,post_id,video_id,play_count,pro_phonp,anti_phonp,unclear,n_comments,file,text_similarity_score
ausunions,9,7654497847743614225,262000,0.7916666666666666,0.1666666666666666,0.0416666666666666,48,Data\comment_sections\tagged\posttag\ausunions\9.csv,0.02707599397180289
ausunions,6,7657853389975358721,179000,0.2608695652173913,0.4347826086956521,0.3043478260869565,46,Data\comment_sections\tagged\posttag\ausunions\6.csv,0.020073729274267718
ausunions,7,7657481781075070225,138000,0.5483870967741935,0.3225806451612903,0.1290322580645161,31,Data\comment_sections\tagged\posttag\ausunions\7.csv,0.0352027174839814
ausunions,8,7655116065130794261,75700,0.0571428571428571,0.8,0.1428571428571428,35,Data\comment_sections\tagged\posttag\ausunions\8.csv,0.007099475860865832
ausunions,5,7665275616815631636,8386,0.3414634146341463,0.4878048780487805,0.1707317073170731,41,Data\comment_sections\tagged\posttag\ausunions\5.csv,0.026618826786818716
onenationoz,4,7667492207166852353,64600,1.0,0.0,0.0,49,Data\comment_sections\tagged\posttag\onenationoz\4.csv,0.08099479339422727
onenationoz,5,7665977831213518096,35400,0.9361702127659576,0.0212765957446808,0.0425531914893617,47,Data\comment_sections\tagged\posttag\onenationoz\5.csv,0.055288474024156764
onenationoz,3,7670346332019674384,16300,0.8717948717948718,0.0,0.1282051282051282,39,Data\comment_sections\tagged\posttag\onenationoz\3.csv,0.027137524491117854
onenationoz,2,7670377488064859400,14600,0.8333333333333334,0.0833333333333333,0.0833333333333333,36,Data\comment_sections\tagged\posttag\onenationoz\2.csv,0.0836244592834828
onenationoz,1,7673000945722182919,11300,0.8536585365853658,0.024390243902439,0.1219512195121951,41,Data\comment_sections\tagged\posttag\onenationoz\1.csv,0.02719681292136249
paulinehansononenation,3,7667717854556409109,2000000,0.8723404255319149,0.1063829787234042,0.0212765957446808,47,Data\comment_sections\tagged\posttag\paulinehansononenation\3.csv,0.026242410198173242
paulinehansononenation,4,7666784614979030292,286200,0.675,0.15,0.175,40,Data\comment_sections\tagged\posttag\paulinehansononenation\4.csv,0.09943033304508721
paulinehansononenation,6,7660723602744020244,278600,0.2083333333333333,0.625,0.1666666666666666,24,Data\comment_sections\tagged\posttag\paulinehansononenation\6.csv,0.022033459550899314
paulinehansononenation,2,7668243320786816276,249800,0.8333333333333334,0.125,0.0416666666666666,48,Data\comment_sections\tagged\posttag\paulinehansononenation\2.csv,0.057321163578289
paulinehansononenation,1,7670783945046265108,182400,0.8888888888888888,0.0444444444444444,0.0666666666666666,45,Data\comment_sections\tagged\posttag\paulinehansononenation\1.csv,0.038729066131818875
paulinehansononenation,5,7662257217000836373,162300,1.0,0.0,0.0,47,Data\comment_sections\tagged\posttag\paulinehansononenation\5.csv,0.09479306930579766
weareunion,1,7665111019529735445,27100,0.2195121951219512,0.7073170731707317,0.073170731707317,41,Data\comment_sections\tagged\posttag\weareunion\1.csv,0.009698942901589035
weareunion,3,7659893946117639442,19000,0.8979591836734694,0.0408163265306122,0.0612244897959183,49,Data\comment_sections\tagged\posttag\weareunion\3.csv,0.10284509003317892
weareunion,5,7656701057908673813,10200,0.2391304347826087,0.7391304347826086,0.0217391304347826,46,Data\comment_sections\tagged\posttag\weareunion\5.csv,0.01891989091412179
weareunion,2,7660404057390976277,4730,0.8529411764705882,0.0588235294117647,0.088235294117647,34,Data\comment_sections\tagged\posttag\weareunion\2.csv,0.032167119649274226
weareunion,4,7657436020819987732,4377,0.5263157894736842,0.2105263157894736,0.2631578947368421,19,Data\comment_sections\tagged\posttag\weareunion\4.csv,0.01727992611271522
